,Date,Area,Consumption(Bscf)
0,2019-04-01,U.S.,2182.901
1,2019-03-01,U.S.,2882.561
2,2019-02-01,U.S.,2983.892
3,2019-01-01,U.S.,3379.295
4,2018-12-01,U.S.,2958.554
5,2018-11-01,U.S.,2687.995
6,2018-10-01,U.S.,2276.313
7,2018-09-01,U.S.,2158.549
8,2018-08-01,U.S.,2311.37
9,2018-07-01,U.S.,2346.413
10,2018-06-01,U.S.,2050.342
11,2018-05-01,U.S.,2046.766
12,2018-04-01,U.S.,2336.221
13,2018-03-01,U.S.,2773.304
14,2018-02-01,U.S.,2700.253
15,2018-01-01,U.S.,3310.405
16,2017-12-01,U.S.,3065.777
17,2017-11-01,U.S.,2351.279
18,2017-10-01,U.S.,2036.943
19,2017-09-01,U.S.,1922.561
20,2017-08-01,U.S.,2104.885
21,2017-07-01,U.S.,2132.701
22,2017-06-01,U.S.,1912.074
23,2017-05-01,U.S.,1896.885
24,2017-04-01,U.S.,1927.859
25,2017-03-01,U.S.,2529.336
26,2017-02-01,U.S.,2329.116
27,2017-01-01,U.S.,2900.856
28,2016-12-01,U.S.,2866.273
29,2016-11-01,U.S.,2159.445
30,2016-10-01,U.S.,1925.203
31,2016-09-01,U.S.,1947.752
32,2016-08-01,U.S.,2208.375
33,2016-07-01,U.S.,2186.616
34,2016-06-01,U.S.,2000.656
35,2016-05-01,U.S.,1965.799
36,2016-04-01,U.S.,2083.848
37,2016-03-01,U.S.,2356.298
38,2016-02-01,U.S.,2652.26
39,2016-01-01,U.S.,3091.695
40,2015-12-01,U.S.,2588.168
41,2015-11-01,U.S.,2249.14
42,2015-10-01,U.S.,1987.31
43,2015-09-01,U.S.,1901.337
44,2015-08-01,U.S.,2052.728
45,2015-07-01,U.S.,2067.714
46,2015-06-01,U.S.,1899.906
47,2015-05-01,U.S.,1858.149
48,2015-04-01,U.S.,2007.922
49,2015-03-01,U.S.,2591.329
50,2015-02-01,U.S.,2925.172
51,2015-01-01,U.S.,3114.982
52,2014-12-01,U.S.,2679.165
53,2014-11-01,U.S.,2357.521
54,2014-10-01,U.S.,1912.81
55,2014-09-01,U.S.,1809.291
56,2014-08-01,U.S.,1933.061
57,2014-07-01,U.S.,1881.017
58,2014-06-01,U.S.,1745.351
59,2014-05-01,U.S.,1810.222
60,2014-04-01,U.S.,1961.678
61,2014-03-01,U.S.,2557.89
62,2014-02-01,U.S.,2741.24
63,2014-01-01,U.S.,3204.129
64,2013-12-01,U.S.,2920.826
65,2013-11-01,U.S.,2316.909
66,2013-10-01,U.S.,1866.762
67,2013-09-01,U.S.,1766.973
68,2013-08-01,U.S.,1927.379
69,2013-07-01,U.S.,1926.33
70,2013-06-01,U.S.,1742.917
71,2013-05-01,U.S.,1752.469
72,2013-04-01,U.S.,1967.458
73,2013-03-01,U.S.,2521.108
74,2013-02-01,U.S.,2567.155
75,2013-01-01,U.S.,2878.785
76,2012-12-01,U.S.,2503.907
77,2012-11-01,U.S.,2167.841
78,2012-10-01,U.S.,1901.084
79,2012-09-01,U.S.,1807.208
80,2012-08-01,U.S.,2008.815
81,2012-07-01,U.S.,2069.773
82,2012-06-01,U.S.,1868.356
83,2012-05-01,U.S.,1873.835
84,2012-04-01,U.S.,1953.071
85,2012-03-01,U.S.,2127.761
86,2012-02-01,U.S.,2500.654
87,2012-01-01,U.S.,2756.18
88,2011-12-01,U.S.,2541.878
89,2011-11-01,U.S.,2031.872
90,2011-10-01,U.S.,1744.454
91,2011-09-01,U.S.,1655.634
92,2011-08-01,U.S.,1891.783
93,2011-07-01,U.S.,1890.515
94,2011-06-01,U.S.,1657.334
95,2011-05-01,U.S.,1667.396
96,2011-04-01,U.S.,1825.023
97,2011-03-01,U.S.,2230.493
98,2011-02-01,U.S.,2452.403
99,2011-01-01,U.S.,2888.64
100,2010-12-01,U.S.,2714.054
101,2010-11-01,U.S.,1973.294
102,2010-10-01,U.S.,1664.938
103,2010-09-01,U.S.,1637.491
104,2010-08-01,U.S.,1878.926
105,2010-07-01,U.S.,1825.828
106,2010-06-01,U.S.,1649.515
107,2010-05-01,U.S.,1617.274
108,2010-04-01,U.S.,1691.813
109,2010-03-01,U.S.,2142.925
110,2010-02-01,U.S.,2480.95
111,2010-01-01,U.S.,2809.788
112,2009-12-01,U.S.,2491.864
113,2009-11-01,U.S.,1776.171
114,2009-10-01,U.S.,1666.52
115,2009-09-01,U.S.,1574.975
116,2009-08-01,U.S.,1736.462
117,2009-07-01,U.S.,1657.997
118,2009-06-01,U.S.,1527.833
119,2009-05-01,U.S.,1504.0
120,2009-04-01,U.S.,1741.293
121,2009-03-01,U.S.,2170.709
122,2009-02-01,U.S.,2332.539
123,2009-01-01,U.S.,2729.715
124,2008-12-01,U.S.,2399.702
125,2008-11-01,U.S.,1868.947
126,2008-10-01,U.S.,1635.827
127,2008-09-01,U.S.,1460.924
128,2008-08-01,U.S.,1682.924
129,2008-07-01,U.S.,1708.641
130,2008-06-01,U.S.,1604.249
131,2008-05-01,U.S.,1576.387
132,2008-04-01,U.S.,1823.867
133,2008-03-01,U.S.,2278.151
134,2008-02-01,U.S.,2503.421
135,2008-01-01,U.S.,2733.97
136,2007-12-01,U.S.,2399.154
137,2007-11-01,U.S.,1834.529
138,2007-10-01,U.S.,1627.791
139,2007-09-01,U.S.,1590.484
140,2007-08-01,U.S.,1896.137
141,2007-07-01,U.S.,1659.882
142,2007-06-01,U.S.,1555.226
143,2007-05-01,U.S.,1559.08
144,2007-04-01,U.S.,1810.079
145,2007-03-01,U.S.,2128.845
146,2007-02-01,U.S.,2566.993
147,2007-01-01,U.S.,2475.594
148,2006-12-01,U.S.,2122.784
149,2006-11-01,U.S.,1765.375
150,2006-10-01,U.S.,1644.231
151,2006-09-01,U.S.,1462.07
152,2006-08-01,U.S.,1751.683
153,2006-07-01,U.S.,1758.733
154,2006-06-01,U.S.,1550.879
155,2006-05-01,U.S.,1526.297
156,2006-04-01,U.S.,1681.005
157,2006-03-01,U.S.,2126.369
158,2006-02-01,U.S.,2144.378
159,2006-01-01,U.S.,2165.268
160,2005-12-01,U.S.,2326.36
161,2005-11-01,U.S.,1663.4
162,2005-10-01,U.S.,1428.227
163,2005-09-01,U.S.,1422.495
164,2005-08-01,U.S.,1695.102
165,2005-07-01,U.S.,1686.609
166,2005-06-01,U.S.,1534.122
167,2005-05-01,U.S.,1522.613
168,2005-04-01,U.S.,1724.877
169,2005-03-01,U.S.,2205.787
170,2005-02-01,U.S.,2242.986
171,2005-01-01,U.S.,2561.858
172,2004-12-01,U.S.,2327.73
173,2004-11-01,U.S.,1782.796
174,2004-10-01,U.S.,1557.224
175,2004-09-01,U.S.,1482.15
176,2004-08-01,U.S.,1577.962
177,2004-07-01,U.S.,1584.933
178,2004-06-01,U.S.,1483.684
179,2004-05-01,U.S.,1573.043
180,2004-04-01,U.S.,1745.171
181,2004-03-01,U.S.,2100.921
182,2004-02-01,U.S.,2511.097
183,2004-01-01,U.S.,2675.834
184,2003-12-01,U.S.,2263.659
185,2003-11-01,U.S.,1753.642
186,2003-10-01,U.S.,1553.189
187,2003-09-01,U.S.,1428.554
188,2003-08-01,U.S.,1651.58
189,2003-07-01,U.S.,1600.484
190,2003-06-01,U.S.,1368.369
191,2003-05-01,U.S.,1514.697
192,2003-04-01,U.S.,1743.53
193,2003-03-01,U.S.,2197.936
194,2003-02-01,U.S.,2500.315
195,2003-01-01,U.S.,2700.545
196,2002-12-01,U.S.,2378.895
197,2002-11-01,U.S.,1913.629
198,2002-10-01,U.S.,1645.873
199,2002-09-01,U.S.,1542.17
200,2002-08-01,U.S.,1725.712
201,2002-07-01,U.S.,1748.435
202,2002-06-01,U.S.,1591.373
203,2002-05-01,U.S.,1611.453
204,2002-04-01,U.S.,1880.985
205,2002-03-01,U.S.,2258.431
206,2002-02-01,U.S.,2242.427
207,2002-01-01,U.S.,2487.638
208,2001-12-01,U.S.,2120.198
209,2001-11-01,U.S.,1700.95
210,2001-10-01,U.S.,1649.073
211,2001-09-01,U.S.,1494.128
212,2001-08-01,U.S.,1669.178
213,2001-07-01,U.S.,1598.071
214,2001-06-01,U.S.,1444.378
215,2001-05-01,U.S.,1522.382
216,2001-04-01,U.S.,1807.17
217,2001-03-01,U.S.,2246.633
218,2001-02-01,U.S.,2309.464
219,2001-01-01,U.S.,2676.998
