Date,pred_t0
2019-04-01,2404.9736957777777
2019-03-01,2799.466354
2019-02-01,2765.427774999999
2019-01-01,2991.6146439999993
2018-12-01,2963.3431459999993
2018-11-01,2353.633924473077
2018-10-01,2178.4205314247574
2018-09-01,2012.189184354956
2018-08-01,2272.46529088895
2018-07-01,2243.1172610390327
2018-06-01,2031.8790409105795
2018-05-01,1991.5403190898298
2018-04-01,2017.9395679193171
2018-03-01,2480.651401730159
2018-02-01,2453.412931944444
2018-01-01,2933.7890384000007
2017-12-01,2796.7386414000007
2017-11-01,2320.7414742611722
2017-10-01,1968.1284712988836
2017-09-01,1980.1234557404298
2017-08-01,2313.6993970873013
2017-07-01,2280.2448371444443
2017-06-01,2029.3806527454544
2017-05-01,1989.5040847185235
2017-04-01,2163.41036547549
2017-03-01,2320.2163266954435
2017-02-01,2696.1636616357137
2017-01-01,2949.8604689999993
